Protein,Protein Name,Protein Family,ChEMBL ID
HTR2C,5-hydroxytryptamine receptor 2A,Belongs to the G-protein coupled receptor 1 family,CHEMBL224
HTR2C,Melatonin receptor type 1B,Belongs to the G-protein coupled receptor 1 family,CHEMBL1946
HTR2C,5-hydroxytryptamine receptor 2B,Belongs to the G-protein coupled receptor 1 family,CHEMBL1833
CHRNA6,Neuronal acetylcholine receptor subunit alpha-6,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-6/CHRNA6 sub-subfamily,CHEMBL2109233
HTR5A,5-hydroxytryptamine receptor 5A,Belongs to the G-protein coupled receptor 1 family,CHEMBL3426
HTR5A,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,Belongs to the G protein gamma family,CHEMBL3883319
HTR5A,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Belongs to the WD repeat G protein beta family,CHEMBL3883319
HTR6,5-hydroxytryptamine receptor 6,Belongs to the G-protein coupled receptor 1 family,CHEMBL3371
HTR6,Serine/threonine-protein kinase mTOR,Belongs to the PI3/PI4-kinase family,CHEMBL2842
HTR6,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,Belongs to the G protein gamma family,CHEMBL3883319
HTR6,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Belongs to the WD repeat G protein beta family,CHEMBL3883319
HTR6,Regulatory-associated protein of mTOR,Belongs to the WD repeat RAPTOR family,CHEMBL3120040
HTR6,Microtubule-associated protein 1B,Belongs to the MAP1 family,CHEMBL3217382
HTR6,Cyclin-dependent kinase 5,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL4036
HTR6,Tyrosine-protein kinase Fyn,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL1841
CHRNB3,Neuronal acetylcholine receptor subunit beta-3,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-3/CHRNB3 sub-subfamily,CHEMBL2109233
CHRNA5,Neuronal acetylcholine receptor subunit alpha-5,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-5/CHRNA5 sub-subfamily,CHEMBL3038461
CHRNA5,Neuronal acetylcholine receptor subunit beta-4,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-4/CHRNB4 sub-subfamily,CHEMBL1907591
CHRNA5,Neuronal acetylcholine receptor subunit beta-2,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-2/CHRNB2 sub-subfamily,CHEMBL1883
CHRFAM7A,Neuronal acetylcholine receptor subunit alpha-7,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-7/CHRNA7 sub-subfamily,CHEMBL2492
CHRNB1,Acetylcholine receptor subunit beta,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-1/CHRNB1 sub-subfamily,CHEMBL1907588
CHRNB1,43 kDa receptor-associated protein of the synapse,Belongs to the RAPsyn family,CHEMBL2163166
SLC6A19,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
SLC6A19,Serine/threonine-protein kinase Sgk2,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL5794
SLC6A19,Angiotensin-converting enzyme 2,Belongs to the peptidase M2 family,CHEMBL3736
SLC6A19,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
SLC6A19,Aminopeptidase N,Belongs to the peptidase M1 family,CHEMBL1907
ADRB2,Beta-2 adrenergic receptor,Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB2 sub-subfamily,CHEMBL210
ADRB2,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,N/A,CHEMBL4523125
ADRB2,G protein-coupled receptor kinase 5,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. GPRK subfamily,CHEMBL5678
ADRB2,Prolyl hydroxylase EGLN3,N/A,CHEMBL5705
ADRB2,Beta-adrenergic receptor kinase 1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. GPRK subfamily,CHEMBL4079
ADRB2,E3 ubiquitin-protein ligase NEDD4,N/A,CHEMBL3621023
ADRB2,Ubiquitin carboxyl-terminal hydrolase 20,Belongs to the peptidase C19 family. USP20/USP33 subfamily,CHEMBL3232682
ADRB2,Proto-oncogene tyrosine-protein kinase Src,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL267
ADRB2,von Hippel-Lindau disease tumor suppressor,Belongs to the VHL family,CHEMBL3108660
ADRB2,Beta-arrestin-1,Belongs to the arrestin family,CHEMBL1795088
ADRB2,Ubiquitin carboxyl-terminal hydrolase 33,Belongs to the peptidase C19 family. USP20/USP33 subfamily,CHEMBL5291551
ADRB2,G protein-coupled receptor kinase 4,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. GPRK subfamily,CHEMBL5861
HTR1E,5-hydroxytryptamine receptor 1E,Belongs to the G-protein coupled receptor 1 family,CHEMBL2182
HTR1E,Guanine nucleotide-binding protein G(i) subunit alpha-1,Belongs to the G-alpha family. G(i/o/t/z) subfamily,CHEMBL4741
HTR1E,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,Belongs to the G protein gamma family,CHEMBL3883319
HTR1E,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Belongs to the WD repeat G protein beta family,CHEMBL3883319
HTR1E,"ATP synthase subunit beta, mitochondrial",Belongs to the ATPase alpha/beta chains family,CHEMBL2062350
CHRNA9,Neuronal acetylcholine receptor subunit alpha-9,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-9/CHRNA9 sub-subfamily,CHEMBL2184
CHRNA9,Neuronal acetylcholine receptor subunit alpha-10,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-10/CHRNA10 sub-subfamily,CHEMBL2109238
CHRNA3,Neuronal acetylcholine receptor subunit alpha-3,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-3/CHRNA3 sub-subfamily,CHEMBL3068
CHRNA3,Transitional endoplasmic reticulum ATPase,Belongs to the AAA ATPase family,CHEMBL1075145
CHRNA3,Neuronal acetylcholine receptor subunit beta-4,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-4/CHRNB4 sub-subfamily,CHEMBL1907591
CHRNA3,Neuronal acetylcholine receptor subunit alpha-5,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-5/CHRNA5 sub-subfamily,CHEMBL3038461
CHRNA3,Neuronal acetylcholine receptor subunit beta-2,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-2/CHRNB2 sub-subfamily,CHEMBL1883
HTR1A,5-hydroxytryptamine receptor 1A,Belongs to the G-protein coupled receptor 1 family. 5-hydroxytryptamine receptor subfamily. HTR1A sub-subfamily,CHEMBL214
HTR1A,Galanin receptor type 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL4894
HTR1A,G-protein coupled receptor 39,Belongs to the G-protein coupled receptor 1 family,CHEMBL3091266
HTR1A,Trace amine-associated receptor 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL5857
HTR1A,5-hydroxytryptamine receptor 2A,Belongs to the G-protein coupled receptor 1 family,CHEMBL224
HTR1A,G-protein coupled estrogen receptor 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL5872
HTR1A,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
HTR3C,5-hydroxytryptamine receptor 3C,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3C sub-subfamily,CHEMBL4296091
HTR3C,5-hydroxytryptamine receptor 3A,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3A sub-subfamily,CHEMBL1899
HTR3C,5-hydroxytryptamine receptor 3D,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3D sub-subfamily,CHEMBL2094132
HTR3C,5-hydroxytryptamine receptor 3E,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3E sub-subfamily,CHEMBL4296087
HTR1F,5-hydroxytryptamine receptor 1F,Belongs to the G-protein coupled receptor 1 family,CHEMBL1805
HTR7,5-hydroxytryptamine receptor 7,Belongs to the G-protein coupled receptor 1 family,CHEMBL3155
SLC6A13,Sodium- and chloride-dependent GABA transporter 2,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A13 subfamily,CHEMBL4535
SLC6A13,Presenilin-2,Belongs to the peptidase A22A family,CHEMBL3708
SLC6A13,Heat shock protein beta-1,Belongs to the small heat shock protein (HSP20) family,CHEMBL5976
SLC6A13,Kinesin-like protein KIF1B,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. Unc-104 subfamily,CHEMBL5889
SLC6A13,Fibroblast growth factor receptor 3,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL2742
HTR3A,5-hydroxytryptamine receptor 3A,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3A sub-subfamily,CHEMBL1899
HTR3A,5-hydroxytryptamine receptor 3E,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3E sub-subfamily,CHEMBL4296087
HTR3A,5-hydroxytryptamine receptor 3C,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3C sub-subfamily,CHEMBL4296091
HTR3A,5-hydroxytryptamine receptor 3D,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3D sub-subfamily,CHEMBL2094132
HTR3A,5-hydroxytryptamine receptor 3B,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3B sub-subfamily,CHEMBL3895
SLC6A9,Sodium- and chloride-dependent glycine transporter 1,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A9 subfamily,CHEMBL2337
CHRNB2,Neuronal acetylcholine receptor subunit beta-2,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-2/CHRNB2 sub-subfamily,CHEMBL1883
CHRNB2,Neuronal acetylcholine receptor subunit alpha-5,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-5/CHRNA5 sub-subfamily,CHEMBL3038461
CHRNB2,Neuronal acetylcholine receptor subunit alpha-4,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-4/CHRNA4 sub-subfamily,CHEMBL1882
CHRNB2,Neuronal acetylcholine receptor subunit alpha-3,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-3/CHRNA3 sub-subfamily,CHEMBL3068
ADRB1,Beta-1 adrenergic receptor,Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB1 sub-subfamily,CHEMBL213
ADRB1,Golgi-associated PDZ and coiled-coil motif-containing protein,N/A,CHEMBL1741218
ADRB1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",Belongs to the MAGUK family,CHEMBL5212
ADRB1,Adenylate cyclase type 5,Belongs to the adenylyl cyclase class-4/guanylyl cyclase family,CHEMBL3189
ADRB1,Adenosine receptor A1,Belongs to the G-protein coupled receptor 1 family,CHEMBL226
HTR1B,5-hydroxytryptamine receptor 1B,Belongs to the G-protein coupled receptor 1 family,CHEMBL1898
HTR1B,5-hydroxytryptamine receptor 1D,Belongs to the G-protein coupled receptor 1 family,CHEMBL1983
CHRNA4,Neuronal acetylcholine receptor subunit alpha-4,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-4/CHRNA4 sub-subfamily,CHEMBL1882
CHRNA4,Prostate stem cell antigen,N/A,CHEMBL3712961
CHRNA4,Lymphocyte antigen 6E,N/A,CHEMBL4523584
CHRNA4,Chromobox protein homolog 1,N/A,CHEMBL1741193
CHRNA4,Neuronal acetylcholine receptor subunit beta-2,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Beta-2/CHRNB2 sub-subfamily,CHEMBL1883
CHRNA4,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
HRH2,Histamine H2 receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL1941
HTR3D,5-hydroxytryptamine receptor 3D,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3D sub-subfamily,CHEMBL2094132
HTR3D,5-hydroxytryptamine receptor 3A,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3A sub-subfamily,CHEMBL1899
HTR3D,5-hydroxytryptamine receptor 3C,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3C sub-subfamily,CHEMBL4296091
HTR3D,5-hydroxytryptamine receptor 3E,Belongs to the ligand-gated ion channel (TC 1.A.9) family. 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily. HTR3E sub-subfamily,CHEMBL4296087
HRH1,Histamine H1 receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL231
HRH1,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,Belongs to the G protein gamma family,CHEMBL3883319
HRH1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Belongs to the WD repeat G protein beta family,CHEMBL3883319
CHRNA2,Neuronal acetylcholine receptor subunit alpha-2,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-2/CHRNA2 sub-subfamily,CHEMBL2109230
CHRNA7,Neuronal acetylcholine receptor subunit alpha-7,Belongs to the ligand-gated ion channel (TC 1.A.9) family. Acetylcholine receptor (TC 1.A.9.1) subfamily. Alpha-7/CHRNA7 sub-subfamily,CHEMBL2492
CHRNA7,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
CHRNA7,Calnexin,Belongs to the calreticulin family,CHEMBL2719
CHRNA7,Protein DBF4 homolog A,N/A,CHEMBL4483
CHRNA7,Bromodomain and WD repeat-containing protein 1,N/A,CHEMBL3351192
CHRNA7,Histone-binding protein RBBP4,Belongs to the WD repeat RBAP46/RBAP48/MSI1 family,CHEMBL2189120
CHRNA7,G protein-regulated inducer of neurite outgrowth 1,N/A,CHEMBL5266
SLC6A5,Sodium- and chloride-dependent glycine transporter 2,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A5 subfamily,CHEMBL3060
SLC6A5,Sodium-dependent noradrenaline transporter,Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A2 subfamily,CHEMBL222
SLC7A9,Caveolin-1,Belongs to the caveolin family,CHEMBL3808270
SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family. Glucose transporter subfamily,CHEMBL5215
GSC2,Small ribosomal subunit protein mS23,Belongs to the mitochondrion-specific ribosomal protein mS23 family,CHEMBL4295990
GSC2,Guanylate cyclase soluble subunit alpha-2,Belongs to the adenylyl cyclase class-4/guanylyl cyclase family,CHEMBL2111348
GSC2,Cytosolic iron-sulfur assembly component 2A,Belongs to the MIP18 family,CHEMBL4295943
GSC2,"3',5'-cyclic-AMP phosphodiesterase 4C",Belongs to the cyclic nucleotide phosphodiesterase family. PDE4 subfamily,CHEMBL291
GSC2,Lysine-specific demethylase 6A,Belongs to the UTX family,CHEMBL2069164
GSC2,"Alkaline phosphatase, placental type",Belongs to the alkaline phosphatase family,CHEMBL4458
DRD4,D(4) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL219
DRD4,D(2) dopamine receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL217
DRD4,Adenosine receptor A2a,Belongs to the G-protein coupled receptor 1 family,CHEMBL251
DRD4,Methionine aminopeptidase 2,Belongs to the peptidase M24A family. Methionine aminopeptidase eukaryotic type 2 subfamily,CHEMBL3922
DRD4,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
RRN3,Mitogen-activated protein kinase 9,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4179
RRN3,TATA box-binding protein-associated factor RNA polymerase I subunit A,N/A,CHEMBL4105882
RRN3,DNA-directed RNA polymerase I subunit RPA1,Belongs to the RNA polymerase beta' chain family,CHEMBL3286067
PPP1R15A,Protein phosphatase 1 regulatory subunit 15A,Belongs to the PPP1R15 family,CHEMBL4630805
PPP1R15A,Tyrosine-protein kinase Lyn,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL3905
PPP1R15A,Histone-lysine N-methyltransferase 2A,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,CHEMBL1293299
PPP1R15A,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL4438
PPP1R15A,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL2164
PPP1R15A,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL4546
PPP1R15A,NADPH oxidase 4,N/A,CHEMBL1250375
PPP1R15A,Eukaryotic translation initiation factor 2 subunit 1,Belongs to the eIF-2-alpha family,CHEMBL1255131
PPP1R15A,C-terminal-binding protein 2,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,CHEMBL3797016
PPP1R15A,DNA damage-inducible transcript 3 protein,Belongs to the bZIP family,CHEMBL3351207
PPP1R15A,Proliferating cell nuclear antigen,Belongs to the PCNA family,CHEMBL2346488
PPP1R15A,TAR DNA-binding protein 43,N/A,CHEMBL2362981
GADD45B,CCR4-NOT transcription complex subunit 9,Belongs to the CNOT9 family,CHEMBL4105961
GADD45B,Mitogen-activated protein kinase kinase kinase 4,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL4853
GADD45B,Dual specificity mitogen-activated protein kinase kinase 7,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL3530
MAPK1,Mitogen-activated protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4040
MAPK1,Tyrosine-protein phosphatase non-receptor type 7,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL2219
MAPK1,Serine/threonine-protein kinase Nek2,Belongs to the protein kinase superfamily. NEK Ser/Thr protein kinase family. NIMA subfamily,CHEMBL3835
MAPK1,Death-associated protein kinase 1,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. DAP kinase subfamily,CHEMBL2558
MAPK1,Ephrin type-A receptor 7,Belongs to the protein kinase superfamily. Tyr protein kinase family. Ephrin receptor subfamily,CHEMBL4602
MAPK1,Epidermal growth factor receptor,Belongs to the protein kinase superfamily. Tyr protein kinase family. EGF receptor subfamily,CHEMBL203
MAPK1,Dual specificity protein phosphatase 6,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL1250381
MAPK1,Mast/stem cell growth factor receptor Kit,Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1/PDGF receptor subfamily,CHEMBL1936
MAPK1,Ribosomal protein S6 kinase alpha-1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL2553
MAPK1,Ribosomal protein S6 kinase alpha-4,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL3125
MAPK1,Serine/threonine-protein kinase B-raf,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. RAF subfamily,CHEMBL5145
MAPK1,Dual specificity mitogen-activated protein kinase kinase 1,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL3587
MAPK1,Dual specificity protein phosphatase 1,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL6026
MAPK1,ETS domain-containing protein Elk-1,Belongs to the ETS family,CHEMBL4453
XBP1,X-box-binding protein 1,Belongs to the bZIP family,CHEMBL1741176
XBP1,NAD-dependent protein deacetylase sirtuin-1,Belongs to the sirtuin family. Class I subfamily,CHEMBL4506
XBP1,Minor histocompatibility antigen H13,Belongs to the peptidase A22B family,CHEMBL4523407
XBP1,Histone acetyltransferase p300,N/A,CHEMBL3784
XBP1,Histone deacetylase 3,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL1829
XBP1,Phosphatidylinositol 3-kinase regulatory subunit alpha,Belongs to the PI3K p85 subunit family,CHEMBL2506
XBP1,Phosphatidylinositol 3-kinase regulatory subunit beta,Belongs to the PI3K p85 subunit family,CHEMBL4437
